code,institution,prog_oo,soft_arch,web_tech,db_systems,sw_project_mgmt,requirements,agile_methods,llm_usage,experience,positive_llm,negative_llm,positive_nollm,negative_nollm,example_positive,example_negative,llm_influence
P001,U1,3,3,3,3,3,3,3,3,Até 1 ano de experiência,"Rapidez e eficiência, estruturação clara e padronizada, facilidade de iteração e adaptação.","Falta de contexto profundo do domínio, respostas podem ser genéricas ou superficiais, dependência excessiva de uma ferramenta externa.","Total controle e personalização do conteúdo, compreensão completa do contexto, maior precisão e especificidade nas respostas.","Mais tempo gasto na criação de conteúdo, potencial para inconsistências ou erros humanos.","Pergunta: ""Como posso criar uma API REST em Django?""
Resposta: ""Você pode usar o Django REST Framework para criar views, serializers e configurar URLs para expor seus modelos como API.""","Pergunta: ""Qual o código para tudo funcionar?""
Resposta: ""O código depende dos requisitos específicos do seu projeto. É importante especificar mais detalhes.""","Facilita a compreensão de conceitos e acelera a resolução de dúvidas, pode fornecer explicações de forma acessível, mas também pode limitar a aprendizagem prática."
P002,U1,3,3,3,3,2,3,3,3,Até 1 ano de experiência,Rapidez e maior facilidade para desenvolvimento de ideias na resolução da tarefa,"Menor aprendizagem, pois de certa forma a pessoa se apoia no uso da LLM e acaba pensando menos sobre a atividade","Maior aprendizado, pois precisa de um nível maior de atenção e compreensão para realizar a tarefa",Maior tempo para resolução.,Ele me deu uma grande ideia sobre o tema e fez o templates de maneira simples e correta,"Na primeira vez que perguntei, ele fez um template diferente do enviado.","Pode influenciar positivamente ou negativamente, positivamente pois ajuda na resolução de problemas com mais facilidade e negativamente se a pessoa se escorar no LLM e não buscar aprender"
P003,U1,1,2,4,4,2,2,3,4,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",Economia de tempo com tarefas repetitivas. Obtenção de inspiração em atividades que exijam criatividade.,Dependência de LLMs. Respostas genéricas,Aprendizado maior. Respostas possivelmente mais criativas,Mais tempo ocupado. Respostas ás vezes não tão elaboradas e com erros de ortografia,"Um exemplo de uma prompt positiva seria: ""Me fale o processo para a obtenção de derivada para uma função logaritmica""","Um exemplo de uma prompt negativa seria: ""Calcule e gere a derivada da função ln(sen(x^2))""",O LLM pode influenciar o aprendizado
P004,U1,3,3,3,3,2,3,3,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Facilidade maior em resolver os problemas, economizar tempo e ter um pensamento mais amplo","Que você não se esforça o bastante para resolver os problemas, o que pode acabar te limitado para outros projetos, sem a utilização dela",Conseguir entender o problema melhor com uma visão mais ampla e as vezes com mais ideias a ser exploradas.,"Explorar a ideia que você tem, acaba que você não consegue realizar a sua ideia por completo, por ficar muito preso em algumas das vezes uma parte besta,",Como posso melhorar a sustentabilidade no meu dia a dia com pequenas ações?,Como eu posso hackear a conta de outra pessoa no Instagram?,"Se for utilizado de forma adequado pode ajudar na tomada de decisão, e um pensamento mais amplo"
P005,U1,3,4,4,3,4,3,3,5,Até 1 ano de experiência,"
Agilidade na elaboração das descrições e casos de uso.

Apoio na organização das ideias com base no template.

Clareza nas explicações e sugestões com base no contexto fornecido.

Facilidade para revisar e ajustar os textos com feedback instantâneo.","Pode gerar uma dependência, diminuindo a prática da escrita autônoma.

Se a pergunta for mal formulada, o resultado pode sair fora do esperado.

Nem sempre o modelo entende restrições específicas do professor.","Estimula o raciocínio crítico e a prática de escrita técnica.

Desenvolve a autonomia na estruturação de histórias e casos de uso.
",Não checar o que foi gerado ,"Pode me ajudar a escrever uma história de usuário com dois casos de uso (fluxo principal e alternativo) sobre o aplicativo GreenMarket?

Resposta do LLM:
[Forneceu uma descrição bem estruturada e clara da história de usuário, com dois casos de uso organizados conforme o template.]","Pergunta:
Faz um negócio aí pro GreenMarket.

Resposta do LLM:
[Gerou uma resposta vaga, com uma história de usuário genérica sem foco nos requisitos ou estrutura exigida pelo exercício.]","O LLM pode acelerar o aprendizado quando usado como ferramenta de apoio, ajudando na estruturação de ideias e esclarecendo dúvidas. No entanto, seu uso deve ser consciente, para não substituir a reflexão individual e o desenvolvimento de habilidades próprias."
P006,U1,4,3,4,3,3,2,3,2,Até 1 ano de experiência,Rapidez e precisão,Falta de autenticidade,Singularidade das respostas,Tempo excessivo,"Perguntas simples como ""Observações?""","Perguntas mais complexas como ""Qual o CASO DE USO de um fluxo principal da história de usuário? "". Ele pode ignorar fatores humanos nas suas respostas",Pode tornar um aprendizado muito monotono e com respostas talvez não muito abrangentes
P007,U1,3,3,5,3,2,3,3,3,1 a 3 anos de experiência,A rapidez em gerar descrições no mesmo padrão pra diversas histórias e casos de uso,"Nem sempre estarão corretas, logo o tempo de revisão da história e do caso de uso se torna maior",Plena ciência do que você escreveu e pensou para aquela história e caso de uso específico,"Menor fluidez no tempo de trabalho, e ficar prezo em uma única visão","Fluxo Principal – Cadastro de Chamado e Resposta de Especialista
DADO QUE o usuário está logado na plataforma
E possui um problema técnico específico
E acessa a área de “Relatar Chamado”
QUANDO o usuário preenche o formulário com o título, descrição do problema e categoria
ENTÃO o chamado é publicado na plataforma
E os especialistas recebem uma notificação sobre o novo chamado
E podem responder com sugestões de solução
E o usuário pode marcar a melhor resposta, atribuindo pontos ao especialista","Fluxo Principal – Cadastro de Chamado e Resposta de Especialista
DADO QUE o usuário está logado na plataforma
E possui um problema técnico específico
E acessa a área de “Configurações”
QUANDO o usuário preenche o formulário com o título, descrição do problema e categoria
ENTÃO o chamado é publicado na plataforma
E os especialistas recebem uma notificação sobre o novo chamado
E podem responder com sugestões de solução
E o usuário pode marcar a melhor resposta, atribuindo pontos ao especialista",Ele pode ser benéfico para a aprendizagem ao mostrar pontos de vistas diferentes a uma mesma história e caso de uso
P008,U1,1,3,3,3,2,3,3,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",velocidade,Respostas genéricas ,Ter uma autoria verdadeira a respeito das respostas.,Acaba gastando mais tempo do que o necessário caso utilizasse uma como ferramenta.,"Exemplo Positivo de Pergunta e Resposta (LLM)
Pergunta:

Meu notebook não liga mesmo conectado à energia. O que pode estar acontecendo?

Resposta do LLM:
Sugestões organizadas como:

Testar o botão de energia

Remover a bateria e fazer reset

Testar outro carregador

Verificar memória RAM

Possível falha na placa-mãe
Finaliza com empatia e abertura para mais detalhes","Meu notebook não liga mesmo conectado na tomada, o que pode ser?

Resposta do LLM (negativa):

Isso pode ser um problema. Talvez a bateria ou o carregador esteja ruim. Você pode tentar ver isso. Ou talvez seja outra coisa. Leve para alguém ver.

❌ Por que essa resposta é ruim?
Vaga e genérica: Não traz soluções específicas ou explicações técnicas.

Pouco útil: Não orienta o usuário a tentar nada concreto por conta própria.

Falta de empatia: Não reconhece a frustração do usuário nem tenta confortar.

Não estruturada: Parece improvisada e não segue uma lógica passo a passo.

Sem abertura para diálogo: Não convida o usuário a fornecer mais detalhes.

Com o exemplo, se consegue perceber que a resposta ira variar com o prompt usado como pergunta, logo a qualidade da resposta é diretamente proporcional a qualidade do prompt","Dependendo do uso deles, pode influenciar positivamente facilitando o aprendizado ou negativamente dando a falsa noção de conhecimento"
P009,U1,4,4,4,4,3,3,4,3,1 a 3 anos de experiência,Facilidade em interpretar e achar contextos e exemplos para as respostas,Ficar fixo a uma ideia não sua pode ser complicado para seguir uma linha de raciocínio,Entender melhor o que você quer dizer já que é um conhecimento que vem de você,O tempo fica maior e a compreensão é mais difícil,"O LLM gera uma história completa, com persona, objetivo, motivo e dois fluxos de uso (principal e alternativo), organizando a resposta com clareza, seguindo exatamente o template solicitado, e ainda fez comentários finais contextualizados. Isso mostra que o LLM consegue estruturar informações de forma rápida, coerente e com boa aplicabilidade prática.","A resposta pode sermuito genérica ou superficial, como","Ajuda a aprender mais rápido, dá bons exemplos e explica bem.
Mas, se a pessoa só copia respostas, ela pode acabar não aprendendo de verdade."
P010,U1,4,3,4,3,3,4,4,5,1 a 3 anos de experiência,Maior rapidez e praticidade.,"Há chances da IA interpretar errado as solicitações, e entregar respostas equivocadas.",Maior proximidade do programador com o processo de abstração e modelagem.,"Demora, e muitas vezes acabamos esquecendo alguns detalhes.","Quais são os benefícios de usar metodologias ágeis em projetos de desenvolvimento de software?

LLM (Resposta):
As metodologias ágeis oferecem diversos benefícios em projetos de desenvolvimento de software, entre os principais estão:

Maior flexibilidade e adaptação a mudanças:
Os projetos ágeis são iterativos e incrementais, permitindo que mudanças nos requisitos sejam incorporadas ao longo do processo de desenvolvimento.

Entrega contínua de valor:
Com ciclos curtos (sprints), o time entrega partes funcionais do produto regularmente, o que gera valor contínuo ao cliente e permite feedback rápido.

Melhoria na comunicação e colaboração:
As práticas ágeis incentivam a comunicação constante entre membros da equipe e com o cliente, promovendo alinhamento e tomadas de decisão mais rápidas.

Foco no cliente:
O cliente está envolvido durante todo o processo, o que garante que o produto final esteja mais alinhado às suas necessidades reais.

Redução de riscos:
A entrega frequente permite detectar problemas mais cedo, possibilitando correções antes que se tornem grandes obstáculos.","Como posso programar um site simples com HTML?

LLM (Resposta ruim):
Você pode programar um site com HTML colocando tags. Tags são coisas como <html> ou <head> e tem outras também. É só escrever isso e pronto, você tem um site.","Pode prejudicar no raciocínio lógico, e o usuário pode acabar se tornando dependente. Entretanto, o lado positivo é que a LLM, se bem utilizada, pode ser muito didática ao explicar determinados temas e sanar dúvidas"
