code,group,task_id,llm,description,main_flow,alt_flow,time,grad_phd_01,note01,grad_phd_02,note02,grad_mean,grade_llm,note_llm
P001,G2,1 - TechFix,Yes,"Título: Cadastro de chamado técnico por usuário
DESCRIÇÃO
EU COMO: Usuário com problema técnico
GOSTARIA DE: Registrar um chamado descrevendo meu problema
PARA: Receber ajuda de especialistas da comunidade","CASO DE USO (Fluxo Principal)
DADO QUE: O usuário está logado no sistema
E está na página de abertura de chamados
E possui um problema técnico a ser relatado

QUANDO: O usuário preenche o formulário com o título, descrição do problema e categoria, e clica em “Enviar chamado”

ENTÃO: O sistema salva o chamado, exibe uma confirmação de envio e o torna visível para especialistas da área","CASO DE USO – Fluxo Alternativo: Cadastro de chamado com dados incompletos
DADO QUE: o usuário está logado na plataforma
E acessou a seção de chamados
E deixou de preencher um ou mais campos obrigatórios (como título, descrição ou categoria)
QUANDO: o usuário clica no botão ""Enviar chamado""
ENTÃO: o sistema impede o envio do chamado
E exibe mensagens de erro indicando quais campos precisam ser preenchidos

",6,10,,10,,10,91.5,"Muito bem estruturado, segue o template à risca, fluxos claros; faltou elemento inovador (ranking, pontos)."
P002,G1,1 - TechFix,No,"Título: Notificação enviada após solicitação do usuário.
Descrição: O sistema irá enviar notificações aos especialistas a cada solicitação realizada por um usuário.
Eu como Bernardo
Gostaria de obter notificações
Para cada solicitação realizada pelo usuário","CASOS DE USO (Fluxo principal)
DADO QUE: <O usuário entre no aplicativo para fazer uma solicitação sobre o problema>
E … E … <O usuário esteja corretamente cadastrado, assim como o especialista>
QUANDO: <A solicitação é realizada>
ENTÃO: <Os especialistas receberão a notificação que o usuário relatou um problema no sistema> ","CASOS DE USO (Fluxo Alternativo)
DADO QUE: < O usuário tenta enviar uma solicitação, mas está sem conexão com a internet>
E … E … < O especialista esteja corretamente cadastrado no sistema>
QUANDO: < A solicitação não pode ser enviada imediatamente devido à falta de conexão>
ENTÃO: <Sistema armazenará a solicitação localmente e enviará a notificação aos especialistas assim que a conexão for restabelecida> ",19,5,,5,,5,75,"A estrutura de caso de uso está adequada, mas houve pequenas falhas de formatação e escopo. Entregou o básico de notificações sem conectar com diferenciais do TechFix."
P003,G1,1 - TechFix,No,"Submeter um problema técnico na plataforma
EU COMO usuário 
GOSTARIA DE submeter problemas técnicos na plataforma 
PARA que outros usuários consigam visualizá-los e submeter suas soluções.","Caso de Uso Principal
DADO QUE eu registrei minha conta na plataforma
E já fiz a verificação de Email
E preenchi os detalhes a respeito do problema técnico em um formulário
QUANDO eu clicar no botão submeter
ENTÃO o meu problema estará salvo no banco de dados da plataforma para que assim outros usuários consigam visualizá-lo.","Caso de Uso alternativo
DADO QUE eu entrei na plataforma como usuário anônimo
E eu preenchi os detalhes a respeito do problema técnico em um formulário
QUANDO eu clicar no botão submeter
ENTÃO o meu problema estará salvo no banco de dados da plataforma para que assim outros usuários consigam visualizá-lo. ",19,5,O conceito de caso de uso alternativo não foi bem entendido.,5,,5,79,"Correto, mas fluxo alternativo para usuário anônimo repete principal (deveria bloquear ou solicitar login)."
P004,G1,1 - TechFix,No,"TEMPLATE:
DESCRIÇÃO:<Cadastro>
EU COMO: <Carlos>
GOSTARIA DE: <Cadastrar chamados>
PARA: <relatar problemas técnicos>","CASOS DE USO (Fluxo principal)
DADO QUE: <Tenha um problema técnico>
E … E … <Eu não consiga resolver>
QUANDO: <Cadastrar o chamado>
ENTÃO: <Eu tenha sugestão para resolver>","CASOS DE USO (Fluxo Alternativo)
DADO QUE: <o problema cadastrado já exista>
E … E … <já existe uma solução>
QUANDO: <o chamado é enviado>
ENTÃO: <o sistema exibe uma sugestão para o chamado> ",14,5,Não usou o template corretamente,0,,2.5,64.5,"Preenche o mínimo, mas template genérico demais e sem contexto TechFix; fluxo alternativo não traz erro realístico."
P005,G1,1 - TechFix,No,"Título: Avaliação de Soluções Técnicas

DESCRIÇÃO
EU COMO: Usuário com problemas técnicos
GOSTARIA DE: Votar nas melhores soluções propostas pelos especialistas
PARA: Ajudar outros usuários a encontrarem rapidamente as respostas mais eficientes e contribuir para o reconhecimento dos especialistas que mais ajudam na plataforma","Fluxo Principal - Votação em solução útil
DADO QUE: Estou logado na plataforma
E visualizei um chamado com múltiplas respostas
E encontrei uma solução que resolveu meu problema
QUANDO: clico no botão ""Votar como útil"" ao lado da resposta
ENTÃO: a pontuação do especialista é atualizada","Fluxo Alternativo - Voto retirado
DADO QUE: Votei em uma resposta anteriormente
E percebi que a resposta não resolveu o problema completamente
QUANDO: clico novamente no botão ""Votar como útil"" para desfazer o voto
ENTÃO: a pontuação do especialista é reduzida
E a posição da resposta no ranking do chamado é reavaliada",12,5,Desalinhamento ao conceito de Fluxo Alternativo.,10,,7.5,89,"História completa, conecta votação ao sistema de pontuação e ranking; fluxos coerentes e úteis."
P006,G2,1 - TechFix,Yes,"Título: Relatar problema técnico na plataforma

DESCRIÇÃO
EU COMO: Usuário com problema técnico
GOSTARIA DE: Relatar um problema na plataforma
PARA: Receber ajuda de especialistas da comunidade","CASO DE USO – Fluxo Principal
DADO QUE: o usuário está logado na plataforma
E: acessa a área de chamados
E: preenche corretamente o formulário com detalhes do problema
QUANDO: ele envia o chamado
ENTÃO: o chamado é publicado, notificando os especialistas e ficando visível para votação e sugestões de solução","CASO DE USO – Fluxo Alternativo
DADO QUE: o usuário está logado na plataforma
E: acessa a área de chamados
E: tenta preencher o formulário com informações incompletas ou inválidas
QUANDO: ele clica no botão “enviar chamado”
ENTÃO: o sistema exibe mensagens de erro indicando os campos obrigatórios não preenchidos e impede o envio até que o formulário seja corretamente preenchido",3,10,,10,,10,89,Estrutura clara e segue template; fluxos bem definidos; pouca criatividade.
P007,G2,1 - TechFix,Yes,Cadastro de Chamado por Usuário com Problema Técnico,"Fluxo Principal – Cadastro de Chamado e Resposta de Especialista
DADO QUE o usuário está logado na plataforma
E possui um problema técnico específico
E acessa a área de “Relatar Chamado”
QUANDO o usuário preenche o formulário com o título, descrição do problema e categoria
ENTÃO o chamado é publicado na plataforma
E os especialistas recebem uma notificação sobre o novo chamado
E podem responder com sugestões de solução
E o usuário pode marcar a melhor resposta, atribuindo pontos ao especialista","DADO QUE o usuário está logado na plataforma
E está navegando por chamados semelhantes ao seu
QUANDO encontra uma solução útil em outro chamado
ENTÃO pode votar positivamente na resposta do especialista
E o especialista recebe pontos adicionais no ranking
E o sistema recomenda essa solução para chamados semelhantes automaticamente",7,5,Há um desalinhamento entre fluno normal e fluxo alternativo.,5,,5,87,Abrange notificações e ranking; faltou seção “DESCRIÇÃO” explícita no template.
P008,G2,1 - TechFix,Yes,"TechFix – Plataforma de Suporte Técnico Colaborativo:

DESCRIÇÃO
EU COMO: Usuário comum da plataforma TechFix
GOSTARIA DE: Relatar um problema técnico detalhado
PARA: Receber ajuda de especialistas da comunidade e resolver meu problema rapidamente

","CASOS DE USO
Fluxo Principal – Cadastro de Chamado
DADO QUE: Estou logado na plataforma
E acesso a seção ""Relatar Problema""
E preencho os campos obrigatórios com título, descrição e categoria do problema
QUANDO: clico no botão ""Enviar Chamado""
ENTÃO: o chamado é registrado no sistema
E fica visível na lista pública para especialistas visualizarem
E recebo uma notificação confirmando o registro do chamado","Fluxo Alternativo – Cadastro de Chamado com Dados Incompletos
DADO QUE: Estou logado na plataforma
E acesso a seção ""Relatar Problema""
E preencho apenas o título do problema, deixando outros campos em branco
QUANDO: clico no botão ""Enviar Chamado""
ENTÃO: o sistema exibe uma mensagem de erro informando os campos obrigatórios
E impede o envio do chamado até que todos os campos necessários sejam preenchidos

",14,10,Vários exercícios tem esta mesma resposta (ou muito similar). Plágio ou algum viés da explicação?,10,,10,88,"Texto bem escrito e completa o template; solução genérica, sem diferencial."
P009,G1,1 - TechFix,No,"Título:
Melhores respostas

DESCRIÇÃO:
EU COMO: Usuário da plataforma TechFix
GOSTARIA DE: Votar nas respostas que considero melhores
PARA: Selecionar as melhores soluções e ajudar outros usuários","CASO DE USO – Fluxo Principal:
DADO QUE: Faço login na plataforma
E: Acessei um chamado com mais de uma resposta
QUANDO: Clico para votar positivamente em uma resposta que me ajudou
ENTÃO: O sistema contabiliza o meu voto
E: A pontuação da resposta de quem respondeu é atualizada","CASO DE USO – Fluxo Alternativo Simples:
DADO QUE: Estou logado na plataforma
E: Tento votar em uma resposta que eu mesmo escrevi
QUANDO: Clico para votar na minha própria resposta
ENTÃO: O sistema bloqueia a ação
E: Exibe uma mensagem informando que não é permitido votar na própria resposta",21,10,,10,,10,91,História de votação robusta; fluxo alternativo relevante; muito coerente.
P010,G1,1 - TechFix,No,"História de Usuário: 
EU COMO: Usuário
GOSTARIA DE: Relatar problemas técnicos
PARA: Receber soluções para o meu problema, dadas pelos especialistas","Caso de Uso Principal:
DADO QUE: O usuário está logado no sistema
E: O usuário está na tela de formulário 
E: O usuário preencheu o campo do formulário com a mensagem desejada
QUANDO: O usuário clicar no botão ""enviar"" do formulário
ENTÃO: O sistema armazenará a mensagem do usuário
E: O sistema exibirá a mensagem do usuário na tela de exibição dos problemas, para que os especialistas logados a vejam
E: O sistema notificará os especialistas que há um novo problema","Caso de Uso Alternativo:
DADO QUE: O usuário está logado no sistema
E: O usuário está na tela de formulário 
E: O usuário preencheu o campo do formulário com a mensagem desejada
QUANDO: O usuário clicar no botão ""cancelar"" do formulário
ENTÃO: O sistema voltará à tela inicial",13,10,,10,,10,84,"Fluxo principal sólido; fluxo alternativo trivial (“cancelar”), pouco criativo."
